InvoiceNo,InvoiceDate,ProductNo,Quantity,Unit,ProductName,PackSize,ChemicalName
1,2015-01-01 00:00:00,338,1,bot,Optimol,bot,Eye Drop
1,2015-01-01 00:00:00,16,1,stp,Nutrivita ,10 cap * 5 stp * box,Multivitamins and Minerals
1,2015-01-01 00:00:00,388,1,bot,????????? ?????? ???,6 bot * 2 pack * dz,Myanmar Digestive
1,2015-01-01 00:00:00,354,2,pcs,Urgo Plaster Transparent,100 pcs * box,Plaster
1,2015-01-01 00:00:00,74,1,stp,Oramin G,5 cap * 6 stp * box,Multivitamins and Minerals
1,2015-01-01 00:00:00,155,1,stp,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
1,2015-01-01 00:00:00,111,1,stp,Clopilet,10 tab * 3 stp * box,Clopidogrel
1,2015-01-01 00:00:00,125,1,stp,Atocor 10,10 tab * 10 stp * box,Atorvastatin
1,2015-01-01 00:00:00,154,1,box,Neurobion Blue,10 tab * 10 stp * box,"B1, B6, B12"
1,2015-01-01 00:00:00,237,2,stp,Brumox 250,10 cap * 10 stp * box,Amoxicillin
1,2015-01-01 00:00:00,281,2,stp,Protase,10 tab * 10 stp * box,Anti Inflammatory Enzyme
1,2015-01-01 00:00:00,310,33,tab,MOM 1000's Thai,1000 tab * bot,Milk of Magnesia
1,2015-01-01 00:00:00,169,10,tab,Paracetamol Ygn,100 tab * bot,Paracetamol
1,2015-01-01 00:00:00,220,4,tab,Vicks,105 tab * bot,Cough Tablet
1,2015-01-01 00:00:00,543,75,tab,Cevit Masa,1000 tab * bot,Cevit Sweet
1,2015-01-01 00:00:00,230,1,stp,Dazolic,10 tab * 10 stp * box,Ornidazole
1,2015-01-01 00:00:00,280,1,sac,Bioflor,10 sac * box,Saccharomyces boulardii
1,2015-01-01 00:00:00,148,2,stp,Metformin denk 500,10 tab * 10 stp * box,Metformin 
1,2015-01-01 00:00:00,148,2,stp,Metformin denk 500,10 tab * 10 stp * box,Metformin 
1,2015-01-01 00:00:00,465,1,bot,???????? ????????????????????,12 bot * dz,Myanmar Cough Medicine
1,2015-01-01 00:00:00,168,20,tab,Gelmag Pol ????,50 tab * bot,Magnesium Trisilicate
1,2015-01-01 00:00:00,174,4,stp,Zosec,10 cap * 10 stp * box,Omeprazole
1,2015-01-01 00:00:00,307,2,stp,Siloxogene,10 tab * 30 stp * box,Aluminium Hydroxide
1,2015-01-01 00:00:00,440,1,bot,???????????? ??????? ??????,6 bot * 2 pack * dz,Myanmar Analgesic
1,2015-01-01 00:00:00,85,2,stp,Cardivas 6.25,10 tab * 3 stp * box,Carvedilol
1,2015-01-01 00:00:00,22,1,stp,Amlosun 5,10 tab * 10 stp * box,Amlodipine
1,2015-01-01 00:00:00,269,1,stp,Maxolon,25 tab * 4 stp * box,Metoclopramide
1,2015-01-01 00:00:00,101,2,stp,Repace 50,10 tab * 10 stp * box,Losartan Potassium
1,2015-01-01 00:00:00,452,1,bot,???????? ???,10 bot * pack,Myanmar anti-Inflammatory
1,2015-01-01 00:00:00,229,2,box,Metro-250(Umedica),10 tab * 10 stp * box,Metronidazole
1,2015-01-01 00:00:00,86,2,stp,Cardivas 12.5,10 tab * 10 stp * box,Carvedilol
1,2015-01-01 00:00:00,123,1,stp,Avas 10,10 tab * 3 stp * box,Atorvastatin
1,2015-01-01 00:00:00,111,1,stp,Clopilet,10 tab * 3 stp * box,Clopidogrel
1,2015-01-01 00:00:00,162,1,bot,Cevit Pol,100 tab * bot,ascorbic acid
1,2015-01-01 00:00:00,75,20,tab,Centrum Silver,285 tab * bot,Multivitamins and Minerals
2,2015-01-01 00:00:00,548,5,tab,Vertinil,10 tab * 20 stp * box,Cinnarizine
2,2015-01-01 00:00:00,549,2,sac,Mybacin Pack,70 sac * pack,Lozenges
2,2015-01-01 00:00:00,295,1,stp,Dolfenal 500,4 tab * 25 stp * box,Mefenamic Acid
4,2015-01-01 00:00:00,354,4,pcs,Urgo Plaster Transparent,100 pcs * box,Plaster
4,2015-01-01 00:00:00,267,1,stp,Dramamine ????,10 tab * 10 stp * box,Dimenhydrinate
4,2015-01-01 00:00:00,229,1,stp,Metro-250(Umedica),10 tab * 10 stp * box,Metronidazole
5,2015-01-01 00:00:00,379,1,bot,?????? ???????,6 bot * 2 pack * dz,Balm
5,2015-01-01 00:00:00,8,1,box,Appeton Teen Grow,10 tab * 3 stp * box,Multivitamins and Minerals
3,2015-01-01 00:00:00,410,1,bot,??????? ????????????????,12 bot * dz,Myanmar Heart Supplement
3,2015-01-01 00:00:00,11,2,stp,LivUp,30 tab * 5 stp * box,Liver Protect
3,2015-01-01 00:00:00,226,3,stp,Norfloxin 400(Umedica),10 tab * 10 stp * box,Norfloxacin
3,2015-01-01 00:00:00,83,3,stp,Amaten 50,10 tab * 10 stp * box,Atenolol 
3,2015-01-01 00:00:00,533,3,stp,Aldactone Red 15's,15 tab * stp,Spironolactone
3,2015-01-01 00:00:00,286,3,stp,Lefra 20,10 tab * 5 stp * box,Lelunimode
3,2015-01-01 00:00:00,155,3,stp,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
3,2015-01-01 00:00:00,115,1,bot,Calcivita Forte,30 cap * bot,Calcium with Vitamin D3
3,2015-01-01 00:00:00,213,1,stp,Decolgen Forte,10 tab * 10 stp * box,Acetaminophen
3,2015-01-01 00:00:00,213,1,tab,Decolgen Forte,10 tab * 10 stp * box,Acetaminophen
3,2015-01-01 00:00:00,108,1,stp,Coralan 5,14 tab * 4 stp * box,Ivabradine
3,2015-01-01 00:00:00,86,1,stp,Cardivas 12.5,10 tab * 10 stp * box,Carvedilol
3,2015-01-01 00:00:00,309,5,stp,Kremil S pink,4 tab * 25 stp * box,Aluminium Hydroxide and Simethicone
3,2015-01-01 00:00:00,175,1,stp,Pantocid 20,10 tab * 10 stp * box,Pantoprazole
3,2015-01-01 00:00:00,354,2,pcs,Urgo Plaster Transparent,100 pcs * box,Plaster
3,2015-01-01 00:00:00,460,1,bot,????????? ?????????????,12 bot * dz,Myanmar Balm
3,2015-01-01 00:00:00,549,1,sac,Mybacin Pack,70 sac * pack,Lozenges
3,2015-01-01 00:00:00,550,1,stp,FamyCare,stp,levonorgestrel
3,2015-01-01 00:00:00,535,2,stp,Brulexin 500,10 cap * 10 stp * box,Cephalexin
3,2015-01-01 00:00:00,205,2,stp,Sofkof,10 cap * 10 stp * box,Cough tablet with Chlopheniramine 
3,2015-01-01 00:00:00,208,2,stp,Solvin Tablet,10 tab * 10 stp * box,Bromhexine
3,2015-01-01 00:00:00,256,2,stp,Alaxan Tab,10 tab * 10 stp * box,Ibuprofen and Paracetamol
3,2015-01-01 00:00:00,57,10,tab,Enervon-C 100's,100 tab * bot,B complex with C
3,2015-01-01 00:00:00,302,2,stp,Loratidine We Care,10 tab * 10 stp * box,Loratadine
3,2015-01-01 00:00:00,85,1,stp,Cardivas 6.25,10 tab * 3 stp * box,Carvedilol
3,2015-01-01 00:00:00,272,1,stp,Stemetil tab,20 tab * stp,Prochlorperazine
3,2015-01-01 00:00:00,220,1,tab,Vicks,105 tab * bot,Cough Tablet
3,2015-01-01 00:00:00,51,2,stp,Zeptol 200,10 tab * 10 stp * box,Carbamazapine
3,2015-01-01 00:00:00,440,1,bot,???????????? ??????? ??????,6 bot * 2 pack * dz,Myanmar Analgesic
3,2015-01-01 00:00:00,387,5,sac,????????? ?????? ????,10 sac * 12 pack * 2ndPack,Myanmar Digestive
3,2015-01-01 00:00:00,409,2,sac,????????? ???????????,20 sac * pack,Myanmar Analgesic
3,2015-01-01 00:00:00,448,1,bot,??????? ????????????????????????,12 bot * dz,Myanmar Supplement
3,2015-01-01 00:00:00,551,1,bot,??????? ???????????,12 bot * dz,Myanmar Luxative
3,2015-01-01 00:00:00,155,1,box,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
3,2015-01-01 00:00:00,375,1,pack,Tiger Balm Plaster Cool 10cm x 14cm,3 sheet * 12 pack * box,Plaster
3,2015-01-01 00:00:00,261,1,stp,Biogesic Tab,10 tab * 50 stp * box,Paracetamol
3,2015-01-01 00:00:00,248,1,stp,Etoshine 60,10 tab * 5 stp * box,Etoricoxib
3,2015-01-01 00:00:00,291,1,stp,Myonal,10 tab * 3 stp * box,Eperisone Hydrochloride
3,2015-01-01 00:00:00,237,1,stp,Brumox 250,10 cap * 10 stp * box,Amoxicillin
3,2015-01-01 00:00:00,547,1,stp,PadTetra,10 cap * 10 stp * box,Tetracycline
6,2015-01-01 00:00:00,431,1,bot,??????????,12 bot * dz,Myanmar Analgesic
6,2015-01-01 00:00:00,162,1,bot,Cevit Pol,100 tab * bot,ascorbic acid
9,2015-02-01 00:00:00,179,1,stp,Panzo D,10 cap * 10 stp * box,Pantoprazole and Domperidone
9,2015-02-01 00:00:00,195,2,stp,Sporidex 500,10 cap * 10 stp * box,Cephalexin
9,2015-02-01 00:00:00,22,3,stp,Amlosun 5,10 tab * 10 stp * box,Amlodipine
